"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Entry Status","Composite","CompositeCode","CrewLetter","CompetitionNotes","Position In Event","Raw Time","Time","Status","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max","Coxing CRI","Coxing CRI Max","Band Name","Group","Baseline Rowing CRI","Baseline Rowing CRI Max","Baseline Sculling CRI","Baseline Sculling CRI Max","Baseline Coxing CRI","Baseline Coxing CRI Max",
"1039427","125229","8+","Op 8+","","ZCX","Circolo Ospedalieri Treviso - Italy","Treviso D","Submitted","N","","B","","","","","","195","1560","0","0","0","0","","","195","1560","0","0","0","0",
"1038826","125172","MasA.4x-","Op MasA 4x-","","WBK","Walbrook Rowing Club","WBK-INMAN","Accepted","N","","C","","","","","","230","563","482","539","0","0","","","230","563","482","539","0","0",
"1038116","125160","MasA.8+","Op MasA 8+","","TRC","Thames Rowing Club","TRC-LESTER","Accepted","N","","A","","","","","","2940","5136","544","2266","676","676","","","2940","5136","544","2266","676","676",
"1038415","125160","MasA.8+","Op MasA 8+","","ZAB","AZS AWF Warszawa - Poland","AZS AWF","Accepted","N","","A","","","","","","197","844","0","0","11","88","","","197","844","0","0","11","88",
"1038814","125160","MasA.8+","Op MasA 8+","","TRC","Thames Rowing Club","TRC-HARDY","Accepted","N","","B","","","","","","3940","3940","531","1722","640","640","","","4271","4271","459","1431","640","640",
"1038966","125160","MasA.8+","Op MasA 8+","","VRC","Vesta Rowing Club","VRC-WOODFINE","Accepted","N","","E","","","","","","943","2322","683","1309","88","176","","","801","2425","585","1150","88","176",
"1038122","125173","MasB.4x-","Op MasB 4x-","","STA","Star Club","STA/PET/LEI/UTC-COMPOSITE","Accepted","Y","STA/LER/PET/UTC","A","","","","","","61","163","2045","2045","0","0","","","61","163","2045","2045","0","0",
"1035910","125161","MasB.8+","Op MasB 8+","","ZAT","Aviron Toulousain","Aviron Toulousain","Accepted","N","","","","","","","","37","296","0","0","0","0","","","37","296","0","0","0","0",
"1036654","125161","MasB.8+","Op MasB 8+","","LYM","Lymington Amateur Rowing Club","LYM-DAVIES","Accepted","N","","A","","","","","","754","2000","30","240","68","544","","","754","2000","30","240","68","544",
"1037099","125161","MasB.8+","Op MasB 8+","","CUR","Curlew Rowing Club","CUR-STEWART","Accepted","N","","","","","","","","1490","1577","121","639","295","295","","","1490","1577","121","639","295","295",
"1037574","125161","MasB.8+","Op MasB 8+","","CUR","Curlew Rowing Club","CUR-PETIT","Accepted","N","","","","","","","","70","156","0","0","31","31","","","70","156","0","0","31","31",
"1037736","125161","MasB.8+","Op MasB 8+","","MON","Monmouth Rowing Club","MON-MORGAN","Accepted","N","","","","","","","","1832","2272","732","1583","375","375","","","1832","2272","732","1583","375","375",
"1037875","125161","MasB.8+","Op MasB 8+","","HEN","Henley Rowing Club","Senior Men","Accepted","N","","A","","","","","","324","563","575","650","0","0","","","324","563","575","650","0","0",
"1037881","125161","MasB.8+","Op MasB 8+","","MBC","Molesey Boat Club","MBC-Gillard","Accepted","N","","B","","","","","","1233","3649","725","2225","48","380","","","1390","3680","725","2225","48","380",
"1038063","125161","MasB.8+","Op MasB 8+","","TSS","Tideway Scullers School","TSS - A. Smith","Accepted","N","","C","","","","","","545","1107","1545","3132","677","677","","","545","1107","1545","3132","677","677",
"1038967","125161","MasB.8+","Op MasB 8+","","VRC","Vesta Rowing Club","VRC-CANNON","Accepted","N","","A","","","","","","958","2182","143","538","198","227","","","854","1833","170","415","198","227",
"1038537","125174","MasC.4x-","Op MasC 4x-","","PTR","Putney Town Rowing Club","PTR-BENTON","Accepted","N","","E","","","","","","687","739","726","840","0","0","","","687","739","726","840","0","0",
"1039079","125174","MasC.4x-","Op MasC 4x-","","FSC","Furnivall Sculling Club","FSC-HELLIER","Accepted","N","","A","","","","","","98","161","840","1256","0","0","","","98","161","840","1256","0","0",
"1035880","125162","MasC.8+","Op MasC 8+","","CAB","Cantabrigian Rowing Club","CAB-AQUAPHOBES","Accepted","N","","A","","","","","","30","221","0","0","0","0","","","52","416","0","0","0","0",
"1035902","125162","MasC.8+","Op MasC 8+","","CAB","Cantabrigian Rowing Club","CAB-POACHERS","Accepted","N","","B","","","","","","60","211","12","16","10","16","","","60","211","12","16","10","16",
"1036221","125162","MasC.8+","Op MasC 8+","","CBR","Bristol, City of, Rowing Club","CBR-SPINK","Accepted","N","","","","","","","","559","1194","283","485","20","23","","","559","1194","283","485","20","23",
"1036275","125162","MasC.8+","Op MasC 8+","","UTC","Upper Thames Rowing Club","UTC-SHIMMIN","Accepted","N","","","","","","","","2232","2348","995","1180","575","575","","","2232","2348","995","1180","575","575",
"1036424","125162","MasC.8+","Op MasC 8+","","ZAT","Aviron Toulousain","Rameurs toulousains","Accepted","N","","A","","","","","","136","1088","0","0","0","0","","","136","1088","0","0","0","0",
