"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Entry Status","Composite","CompositeCode","CrewLetter","CompetitionNotes","Position In Event","Raw Time","Time","Status","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max","Coxing CRI","Coxing CRI Max","Band Name","Group",
"1038323","125185","W.MasC.8+","W MasC 8+","","ARD","Ardingly Rowing Club","Ardingly/Kingston","Submitted","Y","ARD/KRC/LRC","","","","","","","938","1617","397","420","171","171","","",
"1038502","125185","W.MasC.8+","W MasC 8+","","LEA","Lea Rowing Club","LEA-KING","Accepted","N","","G","","","","","","597","632","79","555","9","36","","",
"1038632","125185","W.MasC.8+","W MasC 8+","","BBL","Barnes Bridge Ladies Rowing Club","BBL-A","Accepted","N","","","","","","","","1314","2365","714","1765","303","303","","",
"1038725","125185","W.MasC.8+","W MasC 8+","","CHR","Christchurch Rowing Club","CHR-PERCIVAL FOY","Submitted","N","","","","","","","","25","68","18","79","5","14","","",
"1038757","125185","W.MasC.8+","W MasC 8+","","PTR","Putney Town Rowing Club","PTR-MERCER","Accepted","N","","F","","","","","","997","1110","272","327","220","220","","",
"1035773","125186","W.MasD.8+","W MasD 8+","","ZNV","Northern Virginia Rowing Club","Northern Virginia Rowing Club (NVRC)","Accepted","N","","","","","","","","156","1248","0","0","0","0","","",
"1035803","125186","W.MasD.8+","W MasD 8+","","WRC","Wallingford Rowing Club","WRC-CASEY","Accepted","N","","","","","","","","1472","1934","921","1071","0","0","","",
"1036379","125186","W.MasD.8+","W MasD 8+","","HEN","Henley Rowing Club","HEN-TURNELL","Accepted","N","","","","","","","","481","1828","461","564","3","24","","",
"1036789","125186","W.MasD.8+","W MasD 8+","","ZCO","CIRCOLO CANOTTIERI 3 PONTI ASD - Italy","CC3P Ette","Accepted","N","","","","","","","","24","192","0","0","0","0","","",
"1036795","125186","W.MasD.8+","W MasD 8+","","WLT","Walton Rowing Club","WLT-GUINIVEN","Accepted","N","","","","","","","","626","1005","346","416","0","0","","",
"1037317","125186","W.MasD.8+","W MasD 8+","","GRO","Grosvenor Rowing Club, Chester","GRC/RCRC Composite","Accepted","N","","","","","","","","166","173","168","173","29","29","","",
"1037668","125186","W.MasD.8+","W MasD 8+","","ZBV","Belvoir Ruderclub Zuerich","Belvoir Ladies","Accepted","Y","ZBV/CAM","","","","","","","980","7840","0","0","0","0","","",
"1037876","125186","W.MasD.8+","W MasD 8+","","TSS","Tideway Scullers School","TSS-AL-JANABI","Accepted","N","","","","","","","","178","425","603","761","12","96","","",
"1037891","125186","W.MasD.8+","W MasD 8+","","MON","Monmouth Rowing Club","MON-TOD","Accepted","N","","","","","","","","303","320","14","52","26","208","","",
"1038129","125186","W.MasD.8+","W MasD 8+","","TSS","Tideway Scullers School","TSS-PRIMMER","Accepted","Y","TSS/SPG","","","","","","","277","650","588","804","210","210","","",
"1038256","125199","W.MasE.4x-","W MasE 4x-","","TWK","Twickenham Rowing Club","TWK-FADLON","Submitted","N","","","","","","","","86","344","237","243","0","0","","",
"1035587","125187","W.MasE.8+","W MasE 8+","","CHA","Champion Of The Thames (Cambridge) RC","CHA-LAWRENCE","Accepted","N","","A","","","","","","201","519","292","464","34","54","","",
"1035656","125187","W.MasE.8+","W MasE 8+","","ZFR","Fredensborg RC","Fredensborg / DSR/ LDR","Submitted","N","","E","","","","","","120","960","0","0","0","0","","",
"1035923","125187","W.MasE.8+","W MasE 8+","","ZOK","Ruderclub Union Schoenebeck 1861","ZOK-SCHULKE","Accepted","Y","ZOK/ZPN/ZVA/ZWR/ZZH","","","","","","","0","0","0","0","0","0","","",
"1036790","125187","W.MasE.8+","W MasE 8+","","ZCO","CIRCOLO CANOTTIERI 3 PONTI ASD - Italy","CC3P Manu","Accepted","N","","","","","","","","0","0","0","0","0","0","","",
"1036832","125187","W.MasE.8+","W MasE 8+","","WEY","Weybridge Rowing Club","WEY-BRADY","Accepted","N","","","","","","","","1870","2053","467","502","116","464","","",
"1037135","125187","W.MasE.8+","W MasE 8+","","LEA","Lea Rowing Club","LEA-FRANCHI","Accepted","N","","B","","","","","","54","158","0","0","7","14","","",
"1037773","125187","W.MasE.8+","W MasE 8+","","DUR","Durham Amateur Rowing Club","DUR-LUND","Accepted","N","","","","","","","","236","386","218","226","45","45","","",
"1037830","125187","W.MasE.8+","W MasE 8+","","MAA","Mortlake Anglian & Alpha Boat Club","Thames composite","Accepted","Y","MAA/BBL/UTC/TRC/ZFR","","","","","","","1279","2360","1146","1483","110","176","","",
"1037892","125187","W.MasE.8+","W MasE 8+","","MON","Monmouth Rowing Club","MON-SMITH","Accepted","N","","","","","","","","18","61","1","6","1","3","","",
"1038085","125187","W.MasE.8+","W MasE 8+","","MAR","Marlow Rowing Club","MAR-FORD","Submitted","N","","","","","","","","966","1469","32","91","33","132","","",
"1038086","125188","W.MasF.8+","W MasF 8+","","MAR","Marlow Rowing Club","MAR-ROWE","Submitted","N","","","","","","","","513","713","61","99","0","0","","",
