"Event ID","Event Name","Crew ID","Crew Name","Club Name","Band","Group",
"125165","Op MasF 8+","1037674","CRB-DE SOUZA","Crabtree Boat Club","","",
"125165","Op MasF 8+","1035643","Dreadnoughts","Champion Of The Thames (Cambridge) RC","","",
"125165","Op MasF 8+","1036958","GUI-MANSFIELD","Guildford Rowing Club","","",
"125165","Op MasF 8+","1038099","Lummers delight","Broxbourne Rowing Club","","",
"125165","Op MasF 8+","1038761","MAV-RICKWOOD","Maidstone Invicta Rowing Club","","",
"125165","Op MasF 8+","1038384","NRC-WILLIAMSON","Nottingham Rowing Club","","",
"125165","Op MasF 8+","1036993","PTR-DESMOND","Putney Town Rowing Club","","",
"125165","Op MasF 8+","1036994","PTR-GREEN","Putney Town Rowing Club","","",
"125165","Op MasF 8+","1036307","QBC-LONERGAN","Quintin Boat Club","","",
"125165","Op MasF 8+","1037732","Thomas","Marlow Rowing Club","","",
"125165","Op MasF 8+","1038416","TWK - Davidson","Twickenham Rowing Club","","",
"125165","Op MasF 8+","1035772","WALDSHUT WV","Wassersportverein Waldshut","","",
"125165","Op MasF 8+","1036099","ZAZ-SCHIAVELLO","Idroscalo Club ASD - Italy","","",
"125166","Op MasG 8+","1038075","ABN-WILLIAMS","Abingdon Rowing Club","","",
"125166","Op MasG 8+","1038164","DAT-STEWART","Dart-Totnes Amateur Rowing Club","","",
"125166","Op MasG 8+","1038485","LRC-CARRE","London Rowing Club","","",
"125166","Op MasG 8+","1036386","QBC-HYSLOP","Quintin Boat Club","","",
"125166","Op MasG 8+","1038730","TEVERE REMO","Reale Circolo Canottieri Tevere Remo","","",
"125166","Op MasG 8+","1038321","TSS-WATTS","Tideway Scullers School","","",
"125166","Op MasG 8+","1038447","UTRC Howell","Upper Thames Rowing Club","","",
"125166","Op MasG 8+","1037742","ZDH-SILLEM","Koninklijke Amsterdamsche Rzv De Hoop","","",
"125167","Op MasH 8+","1037682","BOA-Manson","Bradford on Avon Rowing Club","","",
"125167","Op MasH 8+","1035390","PGN-HAYTON","Pengwern Boat Club","","",
"125167","Op MasH 8+","1036905","WEY-HUDSON","Weybridge Rowing Club","","",
"125167","Op MasH 8+","1035825","ZOZ-HANSEN","Old Zealanders Denmark","","",
"125173","Op MasB 4x-","1038122","STA/PET/LEI/UTC-COMPOSITE","Star Club","","",
"125174","Op MasC 4x-","1038537","PTR-BENTON","Putney Town Rowing Club","","",
"125175","Op MasD 4x-","1038252","GRO-HOWARD","Grosvenor Rowing Club, Chester","","",
"125178","Op MasG 4x-","1038444","MAA G4x- Harvey","Mortlake Anglian & Alpha Boat Club","","",
"125179","Op MasH 4x-","1038446","MAA/BB H4x- Hoile","Mortlake Anglian & Alpha Boat Club","","",
"125183","W MasA 8+","1038390","AGE-MILLER","Agecroft Rowing Club","","",
"125183","W MasA 8+","1035462","BRI-FLAVELL","Bridgnorth Rowing Club","","",
"125183","W MasA 8+","1037639","VRC-LENNOX","Vesta Rowing Club","","",
"125184","W MasB 8+","1037450","GLR-Hayes","Gloucester Rowing Club","","",
"125184","W MasB 8+","1038741","LEA-CHAPMAN","Lea Rowing Club","","",
"125184","W MasB 8+","1038121","LLA-BRACE","Llandaff Rowing Club","","",
"125184","W MasB 8+","1037745","PET-APOSTOLIDOU","Peterborough City Rowing Club","","",
"125184","W MasB 8+","1038370","PTR-HUNT","Putney Town Rowing Club","","",
"125184","W MasB 8+","1037221","QBC/TSS/MAA/KRC/LRC","Quintin Boat Club","","",
"125184","W MasB 8+","1036427","TRC-CHICHESTER","Thames Rowing Club","","",
"125184","W MasB 8+","1037318","UTC-BROOKS","Upper Thames Rowing Club","","",
"125185","W MasC 8+","1038323","Ardingly/Kingston","Ardingly Rowing Club","","",
"125185","W MasC 8+","1035403","AVN-TUCK","Avon County Rowing Club","","",
"125185","W MasC 8+","1038632","BBL-A","Barnes Bridge Ladies Rowing Club","","",
"125185","W MasC 8+","1036781","BRX-LAIRD","Broxbourne Rowing Club","","",
"125185","W MasC 8+","1038725","CHR-PERCIVAL FOY","Christchurch Rowing Club","","",
"125185","W MasC 8+","1038165","DAT-JENNINGS","Dart-Totnes Amateur Rowing Club","","",
"125185","W MasC 8+","1038225","FSC-SNEWIN","Furnivall Sculling Club","","",
"125185","W MasC 8+","1038502","LEA-KING","Lea Rowing Club","","",
"125185","W MasC 8+","1038162","MAR-KNILL","Marlow Rowing Club","","",
"125185","W MasC 8+","1036385","MIK-WILSON","Milton Keynes Rowing Club","","",
"125185","W MasC 8+","1036375","MIN-COOKE","Minerva Bath Rowing Club","","",
"125185","W MasC 8+","1037746","PET-RICHARDSON","Peterborough City Rowing Club","","",
"125185","W MasC 8+","1038757","PTR-MERCER","Putney Town Rowing Club","","",
"125185","W MasC 8+","1037606","TKC-MAURY","Team Keane Sculling School","","",
"125185","W MasC 8+","1036703","TRF-HAMER","Trafford Rowing Club","","",
"125185","W MasC 8+","1035802","WRC-TOSE","Wallingford Rowing Club","","",
"125186","W MasD 8+","1037668","Belvoir Ladies","Belvoir Ruderclub Zuerich","","",
"125186","W MasD 8+","1036789","CC3P Ette","CIRCOLO CANOTTIERI 3 PONTI ASD - Italy","","",
"125186","W MasD 8+","1037317","GRC/RCRC Composite","Grosvenor Rowing Club, Chester","","",
"125186","W MasD 8+","1036379","HEN-TURNELL","Henley Rowing Club","","",
"125186","W MasD 8+","1037891","MON-TOD","Monmouth Rowing Club","","",
"125186","W MasD 8+","1035773","Northern Virginia Rowing Club (NVRC)","Northern Virginia Rowing Club","","",
"125186","W MasD 8+","1037876","TSS-AL-JANABI","Tideway Scullers School","","",
"125186","W MasD 8+","1038129","TSS-PRIMMER","Tideway Scullers School","","",
"125186","W MasD 8+","1036795","WLT-GUINIVEN","Walton Rowing Club","","",
"125186","W MasD 8+","1035803","WRC-CASEY","Wallingford Rowing Club","","",
"125187","W MasE 8+","1036790","CC3P Manu","CIRCOLO CANOTTIERI 3 PONTI ASD - Italy","","",
"125187","W MasE 8+","1035587","CHA-LAWRENCE","Champion Of The Thames (Cambridge) RC","","",
"125187","W MasE 8+","1037773","DUR-LUND","Durham Amateur Rowing Club","","",
"125187","W MasE 8+","1035656","Fredensborg / DSR/ LDR","Fredensborg RC","","",
"125187","W MasE 8+","1037135","LEA-FRANCHI","Lea Rowing Club","","",
"125187","W MasE 8+","1038085","MAR-FORD","Marlow Rowing Club","","",
"125187","W MasE 8+","1037892","MON-SMITH","Monmouth Rowing Club","","",
"125187","W MasE 8+","1037830","Thames composite","Mortlake Anglian & Alpha Boat Club","","",
"125187","W MasE 8+","1036832","WEY-BRADY","Weybridge Rowing Club","","",
"125187","W MasE 8+","1035923","ZOK-SCHULKE","Ruderclub Union Schoenebeck 1861","","",
"125188","W MasF 8+","1038086","MAR-ROWE","Marlow Rowing Club","","",
"125195","W MasA 4x-","1038558","WAR-HURLEY","Warwick Boat Club","","",
"125197","W MasC 4x-","1038413","ETX-JOHNSON","Eton Excelsior Rowing Club","","",
"125197","W MasC 4x-","1038501","LEA-NICKERSON","Lea Rowing Club","","",
"125197","W MasC 4x-","1038087","MAR-PARKER","Marlow Rowing Club","","",
"125197","W MasC 4x-","1038758","PTR-SHEPHERD","Putney Town Rowing Club","","",
"125197","W MasC 4x-","1038257","TWK-BARNES","Twickenham Rowing Club","","",
"125199","W MasE 4x-","1038256","TWK-FADLON","Twickenham Rowing Club","","",
"125206","Mx MasA 8+","1038224","FSC-GRAEDEL IBERG","Furnivall Sculling Club","","",
"125206","Mx MasA 8+","1038723","Griffen Mixed Composite","Griffen, The, Boat Club","","",
"125207","Mx MasB 8+","1038735","Can Boada rowing team","Club Natacio Banyoles","","",
"125207","Mx MasB 8+","1038369","EXE-JACOBS","Exeter Rowing Club Ltd","","",
"125207","Mx MasB 8+","1038486","LRC-WALSH","London Rowing Club","","",
"125207","Mx MasB 8+","1036583","SHO-SAUNDERS","Shoreham Rowing Club","","",
"125209","Mx MasD 8+","1038631","ANC-MACLEOD","Ancholme Rowing Club","","",
"125209","Mx MasD 8+","1035584","AVN-THORNTON","Avon County Rowing Club","","",
"125209","Mx MasD 8+","1036900","CSW-BRACE","City of Swansea Rowing Club","","",
"125209","Mx MasD 8+","1038084","LRC","Lincoln Rowing Centre","","",
"125209","Mx MasD 8+","1035340","MIN-SEWELL","Minerva Bath Rowing Club","","",
"125209","Mx MasD 8+","1038644","Royal Air Force","Royal Air Force Rowing Club","","",
"125209","Mx MasD 8+","1036800","WLT-JACKSON","Walton Rowing Club","","",
"125210","Mx MasE 8+","1037838","BRD-HICKSON","Bradford Amateur Rowing Club","","",
"125210","Mx MasE 8+","1037352","HIL-MARSHALL","Hillingdon Rowing Club","","",
"125210","Mx MasE 8+","1035449","PGN-PRICE-OWEN","Pengwern Boat Club","","",
"125211","Mx MasF 8+","1037758","BRD-MYERS","Bradford Amateur Rowing Club","","",
"125229","Op 8+","1036856","CYG-BAILEY","Cygnet Rowing Club","","",
"125229","Op 8+","1037850","VRC-BOTTOMLY","Vesta Rowing Club","","",
"125229","Op 8+","1037849","VRC-ESDAILE","Vesta Rowing Club","","",
"125230","W 8+","1038132","LEA-BONFANTI","Lea Rowing Club","","",
"125230","W 8+","1038489","LEA-HOCKINGS","Lea Rowing Club","","",
