"Crew ID","Crew Name","Event ID","Event Identity","Actual Masters Crew Category","Composite","Composite Code","Submitting Club","Submitting Club Index",
"1028756","CAB-MORLEY","118805","MasC.1x","C","N","","Cantabrigian Rowing Club","CAB",
"1028859","WAR-ROTKOP","118805","MasC.1x","C","N","","Warwick Boat Club","WAR",
"1028948","ARD-DOMBROWE","118805","MasC.1x","C","N","","Ardingly Rowing Club","ARD",
"1029128","MBC-BELLAMY","118805","MasC.1x","C","N","","Molesey Boat Club","MBC",
"1029309","TSS-NEWTON","118805","MasC.1x","C","N","","Tideway Scullers School","TSS",
"1029628","MBC-SHIRLEY","118805","MasC.1x","C","N","","Molesey Boat Club","MBC",
"1029652","ROB-GRAF","118805","MasC.1x","C","N","","Rob Roy Boat Club","ROB",
"1029686","PTR-BOILEAU","118805","MasC.1x","C","N","","Putney Town Rowing Club","PTR",
"1029716","VRC-GALAVOTTI","118805","MasC.1x","C","N","","Vesta Rowing Club","VRC",
"1029741","HEN-RASEK","118805","MasC.1x","C","N","","Henley Rowing Club","HEN",
"1026829","MHD-STOCKDALE","118806","MasD.1x","D","N","","Maidenhead Rowing Club","MHD",
"1026863","MHD-STEEL","118806","MasD.1x","D","N","","Maidenhead Rowing Club","MHD",
"1027008","ETX-LEN","118806","MasD.1x","D","N","","Eton Excelsior Rowing Club","ETX",
"1027009","ETX-FULTON","118806","MasD.1x","D","N","","Eton Excelsior Rowing Club","ETX",
"1027155","Tim Ellis","118806","MasD.1x","D","N","","Royal Air Force Rowing Club","RAF",
"1027261","AKN-WALKER","118806","MasD.1x","D","N","","Auriol Kensington Rowing Club","AKN",
"1027281","QBC-ALMAND","118806","MasD.1x","D","N","","Quintin Boat Club","QBC",
"1027333","BEB-JAHNICH","118806","MasD.1x","D","N","","Bewl Bridge Rowing Club","BEB",
"1027515","NST-FOSTER","118806","MasD.1x","D","N","","North Staffordshire Rowing Club","NST",
"1027674","CBR-DOWNEY","118806","MasD.1x","D","N","","Bristol, City of, Rowing Club","CBR",
"1028006","MON-STEWART-WOODS","118806","MasD.1x","D","N","","Monmouth Rowing Club","MON",
"1028008","BEW-COLLINGRIDGE","118806","MasD.1x","D","N","","Bewdley Rowing Club","BEW",
"1028108","TSS-BRIDGER","118806","MasD.1x","D","N","","Tideway Scullers School","TSS",
"1028109","Dave Dangerous","118806","MasD.1x","D","N","","Sons of the Thames Rowing Club","SON",
"1028295","CBR-KELLY","118806","MasD.1x","D","N","","Bristol, City of, Rowing Club","CBR",
"1028418","EXE-BYRNES","118806","MasD.1x","D","N","","Exeter Rowing Club Ltd","EXE",
"1028677","UTC-MARKHAM","118806","MasD.1x","D","N","","Upper Thames Rowing Club","UTC",
"1028682","CRB-POOLEY","118806","MasD.1x","D","N","","Crabtree Boat Club","CRB",
"1028730","BRX-ALEXANDER","118806","MasD.1x","D","N","","Broxbourne Rowing Club","BRX",
"1028734","BRX-O'PUIRSEIL","118806","MasD.1x","D","N","","Broxbourne Rowing Club","BRX",
"1028741","CYG-DU PARC BRAHAM","118806","MasD.1x","D","N","","Cygnet Rowing Club","CYG",
"1028858","WAR-SIDAWAY","118806","MasD.1x","D","N","","Warwick Boat Club","WAR",
"1029145","FUL-ORECCHIA","118806","MasD.1x","D","N","","Fulham Reach Boat Club","FUL",
"1029150","PBD Humprey","118806","MasD.1x","D","N","","Poplar Blackwall & District Rowing Club","PBD",
"1029475","Akos Forczek","118806","MasD.1x","D","N","","Parr's Priory Rowing Club","PAR",
"1029583","WBK-LUKES","118806","MasD.1x","D","N","","Walbrook Rowing Club","WBK",
"1029681","Diego","118806","MasD.1x","D","N","","Team Keane Sculling School","TKC",
"1029695","VRC-MAYNARD","118806","MasD.1x","D","N","","Vesta Rowing Club","VRC",
"1029699","MED-MITCHELHILL","118806","MasD.1x","D","N","","Medway Towns Rowing Club","MED",
"1029820","CBR-PEAKE","118806","MasD.1x","D","N","","Bristol, City of, Rowing Club","CBR",
"1026874","tone","118807","MasE.1x","E","N","","Wycliffe College Boat Club","WYC",
"1026964","MAR-GALBRAITH","118807","MasE.1x","E","N","","Marlow Rowing Club","MAR",
"1026979","MAR-LANDERS","118807","MasE.1x","E","N","","Marlow Rowing Club","MAR",
"1026984","TRC-MCCONNELL","118807","MasE.1x","E","N","","Thames Rowing Club","TRC",
"1026990","NWK-PRICE","118807","MasE.1x","E","N","","Newark Rowing Club","NWK",
"1027018","QBC-AQUILINA","118807","MasE.1x","E","N","","Quintin Boat Club","QBC",
"1027024","BEB-MORRIS J","118807","MasE.1x","E","N","","Bewl Bridge Rowing Club","BEB",
"1027053","BEB-MAUNSELL","118807","MasE.1x","E","N","","Bewl Bridge Rowing Club","BEB",
