"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Composite","CompositeCode","CrewLetter","CompetitionNotes","Position In Event","Raw Time","Time","Status","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max","Baseline Rowing CRI","Baseline Rowing CRI Max","Baseline Sculling CRI","Baseline Sculling CRI Max",
"1028714","118791","1x","Op 1x","","TSS","Tideway Scullers School","TSS-FIELDS","N","","","","","","","","443","443","32","256","443","443","32","256",
"1028715","118791","1x","Op 1x","","TSS","Tideway Scullers School","TSS-HODGSON","N","","","","","","","","306","408","156","416","306","408","156","416",
"1028719","118791","1x","Op 1x","","TSS","Tideway Scullers School","TSS-OGUNYOYE","N","","","","","","","","31","83","134","357","31","83","134","357",
"1028723","118791","1x","Op 1x","","TSS","Tideway Scullers School","TSS-SEAMAN","N","","","","","","","","254","407","177","705","254","407","177","705",
"1028724","118791","1x","Op 1x","","TSS","Tideway Scullers School","TSS-TIERNEY","N","","","","","","","","0","0","145","1160","0","0","145","1160",
"1028726","118791","1x","Op 1x","","BRX","Broxbourne Rowing Club","BRX-CHEALE","N","","","","","","","","17","27","306","306","17","27","306","306",
"1028728","118791","1x","Op 1x","","BRX","Broxbourne Rowing Club","BRX-ROBINSON","N","","","","","","","","79","106","64","170","79","106","64","170",
"1028761","118791","1x","Op 1x","","CUR","Curlew Rowing Club","CUR-WEEKES","N","","","","","","","","461","461","0","0","461","461","0","0",
"1028848","118791","1x","Op 1x","","PTR","Putney Town Rowing Club","PTR-O'DONNELL","N","","","","","","","","48","77","1","6","48","77","1","6",
"1028885","118791","1x","Op 1x","","IPS","Ipswich Rowing Club","IPS-HORN","N","","","","","","","","4","16","43","86","4","16","43","86",
"1028915","118791","1x","Op 1x","","LRC","London Rowing Club","LRC-HEAP","N","","","","","","","","336","336","189","303","336","336","189","303",
"1028961","118791","1x","Op 1x","","FUL","Fulham Reach Boat Club","FUL-THOMAS","N","","","","","","","","25","198","12","96","25","198","12","96",
"1029018","118791","1x","Op 1x","","PTR","Putney Town Rowing Club","PTR-RUSSELL","N","","","","","","","","179","179","7","56","179","179","7","56",
"1029048","118791","1x","Op 1x","","FSC","Furnivall Sculling Club","FSC-DICKINSON","N","","","","","","","","128","147","41","108","128","147","41","108",
"1029083","118791","1x","Op 1x","","BUR","Burway Rowing Club","BUR-BARRETT","N","","","","","","","","0","0","263","263","0","0","263","263",
"1029102","118791","1x","Op 1x","","LEA","Lea Rowing Club","LEA-MUGGLETON","N","","","","","","","","0","0","0","0","0","0","0","0",
"1029157","118791","1x","Op 1x","","WAR","Warwick Boat Club","WAR-GILES","N","","","","","","","","0","0","0","0","0","0","0","0",
"1029158","118791","1x","Op 1x","","WAR","Warwick Boat Club","WAR-GARNER","N","","","","","","","","100","134","102","102","100","134","102","102",
"1029197","118791","1x","Op 1x","","CYG","Cygnet Rowing Club","CYG-HARRIES","N","","","","","","","","55","74","17","45","55","74","17","45",
"1029203","118791","1x","Op 1x","","SOU","Southampton University Boat Club","M.Matt","N","","","","","","","","108","144","5","40","108","144","5","40",
